true_class,total_instances,ties,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,correct,correct_pct
1,23183,1,17258.0,3594.0,408.0,405.0,659.0,189.0,610.0,32.0,27.0,17258.0,0.7444247940301083
2,6528,0,444.0,4830.0,490.0,59.0,33.0,302.0,265.0,0.0,105.0,4830.0,0.7398897058823529
3,4752,1,197.0,1704.0,1325.0,203.0,103.0,249.0,934.0,2.0,34.0,1325.0,0.2788299663299663
4,1212,0,76.0,167.0,99.0,317.0,150.0,47.0,86.0,13.0,257.0,317.0,0.2615511551155115
5,871,0,60.0,14.0,22.0,32.0,544.0,5.0,68.0,117.0,9.0,544.0,0.6245694603903559
6,762,0,15.0,50.0,71.0,59.0,12.0,250.0,64.0,2.0,239.0,250.0,0.32808398950131235
7,679,0,17.0,62.0,134.0,17.0,28.0,13.0,407.0,1.0,0.0,407.0,0.5994108983799705
8,324,0,0.0,0.0,0.0,1.0,21.0,3.0,1.0,249.0,49.0,249.0,0.7685185185185185
9,261,0,0.0,9.0,0.0,23.0,10.0,29.0,5.0,7.0,178.0,178.0,0.6819923371647509
