true_class,total_instances,ties,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,correct,correct_pct
1,23183,1,16223.0,379.0,1094.0,1278.0,2149.0,269.0,1769.0,9.0,12.0,16223.0,0.6997800112151146
2,6528,0,162.0,4511.0,341.0,170.0,176.0,140.0,1017.0,2.0,9.0,4511.0,0.6910232843137255
3,4752,1,5.0,69.0,2598.0,198.0,298.0,66.0,1496.0,0.0,21.0,2598.0,0.5467171717171717
4,1212,0,5.0,3.0,59.0,609.0,137.0,66.0,166.0,8.0,159.0,609.0,0.5024752475247525
5,871,0,4.0,2.0,6.0,52.0,595.0,98.0,35.0,47.0,32.0,595.0,0.6831228473019518
6,762,0,1.0,5.0,29.0,67.0,91.0,292.0,58.0,13.0,206.0,292.0,0.38320209973753283
7,679,0,2.0,7.0,114.0,36.0,68.0,13.0,438.0,0.0,1.0,438.0,0.6450662739322534
8,324,0,0.0,0.0,0.0,1.0,10.0,3.0,0.0,277.0,33.0,277.0,0.8549382716049383
9,261,0,0.0,0.0,0.0,23.0,6.0,39.0,4.0,5.0,184.0,184.0,0.7049808429118773
