true_class,total_instances,ties,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,correct,correct_pct
1,23183,2,17849.0,2226.0,381.0,472.0,801.0,295.0,1104.0,1.0,52.0,17849.0,0.7699176120433076
2,6528,0,769.0,4062.0,427.0,72.0,29.0,415.0,604.0,3.0,147.0,4062.0,0.6222426470588235
3,4752,0,245.0,1451.0,1171.0,232.0,133.0,307.0,1171.0,0.0,42.0,1171.0,0.24642255892255893
4,1212,1,104.0,122.0,85.0,308.0,151.0,66.0,147.0,13.0,215.0,308.0,0.25412541254125415
5,871,0,67.0,11.0,16.0,46.0,559.0,2.0,90.0,76.0,4.0,559.0,0.6417910447761194
6,762,0,14.0,45.0,51.0,101.0,14.0,259.0,69.0,3.0,206.0,259.0,0.33989501312335957
7,679,0,16.0,25.0,108.0,15.0,37.0,14.0,464.0,0.0,0.0,464.0,0.6833578792341679
8,324,0,0.0,0.0,0.0,1.0,15.0,0.0,2.0,253.0,53.0,253.0,0.7808641975308642
9,261,0,1.0,3.0,1.0,34.0,7.0,24.0,10.0,12.0,169.0,169.0,0.6475095785440613
