true_class,total_instances,ties,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,correct,correct_pct
1,23183,0,15901.0,450.0,1532.0,1037.0,2481.0,296.0,1394.0,21.0,71.0,15901.0,0.6858905232282276
2,6528,0,90.0,4067.0,762.0,180.0,302.0,333.0,757.0,0.0,37.0,4067.0,0.6230085784313726
3,4752,1,8.0,97.0,2582.0,243.0,323.0,214.0,1217.0,0.0,67.0,2582.0,0.5433501683501684
4,1212,0,0.0,8.0,124.0,462.0,166.0,91.0,115.0,21.0,225.0,462.0,0.3811881188118812
5,871,0,6.0,2.0,6.0,26.0,657.0,74.0,18.0,46.0,36.0,657.0,0.7543053960964409
6,762,0,0.0,4.0,58.0,40.0,130.0,257.0,51.0,11.0,211.0,257.0,0.33727034120734906
7,679,0,3.0,9.0,120.0,21.0,72.0,25.0,428.0,0.0,1.0,428.0,0.6303387334315169
8,324,0,0.0,0.0,0.0,1.0,11.0,6.0,0.0,272.0,34.0,272.0,0.8395061728395061
9,261,0,0.0,0.0,4.0,8.0,16.0,33.0,2.0,11.0,187.0,187.0,0.7164750957854407
