true_class,total_instances,ties,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,correct,correct_pct
1,16223,0,14523.0,1.0,54.0,194.0,920.0,137.0,394.0,0.0,0.0,14523.0,0.8952105036059915
2,4511,1,44.0,4049.0,126.0,149.0,0.0,30.0,112.0,0.0,0.0,4049.0,0.8975836843272001
3,2598,0,0.0,0.0,2157.0,77.0,0.0,8.0,356.0,0.0,0.0,2157.0,0.8302540415704388
4,609,0,0.0,0.0,22.0,573.0,1.0,2.0,10.0,1.0,0.0,573.0,0.9408866995073891
5,595,0,0.0,0.0,0.0,3.0,510.0,75.0,4.0,3.0,0.0,510.0,0.8571428571428571
6,292,0,0.0,0.0,0.0,17.0,1.0,268.0,1.0,0.0,5.0,268.0,0.9178082191780822
7,438,0,0.0,0.0,0.0,0.0,9.0,0.0,429.0,0.0,0.0,429.0,0.9794520547945206
8,277,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,265.0,11.0,265.0,0.9566787003610109
9,184,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,177.0,177.0,0.9619565217391305
