type,cluster_id,silhouette_score,ami_score,purity,n_samples
global,all,0.30041632056236267,0.29314273414735725,,
cluster,0,0.280399888753891,,0.9591513616212793,6316
cluster,1,0.3643624782562256,,0.32395135947533815,7319
cluster,2,0.21516047418117523,,0.9858220211161388,3315
cluster,3,-0.12249288707971573,,0.6673448626653102,1966
cluster,4,0.38852816820144653,,0.9495357891584306,6678
cluster,5,0.5227466821670532,,0.49432111512648425,3874
cluster,6,0.9960360527038574,,1.0,50
cluster,7,-0.2702348232269287,,0.5462184873949579,1309
cluster,8,0.9993693828582764,,1.0,50
