type,cluster_id,silhouette_score,ami_score,purity,n_samples
cluster,160,0.8549004,,0.9444444444444444,18
cluster,161,0.95765775,,1.0,11
cluster,162,0.66952634,,1.0,22
cluster,163,0.8708134,,1.0,13
cluster,164,0.9734857,,1.0,27
cluster,165,0.8374184,,1.0,23
cluster,166,0.8961114,,1.0,44
cluster,167,0.9553739,,0.9761904761904762,42
cluster,168,0.6736212,,1.0,22
cluster,169,0.9742854,,1.0,19
cluster,170,0.8344514,,1.0,15
cluster,171,0.90451884,,1.0,22
cluster,172,0.94259065,,1.0,25
cluster,173,0.8992729,,1.0,45
cluster,174,0.9444088,,1.0,25
cluster,175,0.9586811,,1.0,25
cluster,176,0.9557466,,1.0,11
cluster,177,0.8918682,,0.9032258064516129,31
cluster,178,0.9750406,,1.0,11
cluster,179,0.83682835,,1.0,17
cluster,180,0.90481734,,1.0,13
cluster,181,0.9166559,,0.9803921568627451,51
cluster,182,0.9114085,,0.9047619047619048,21
cluster,183,0.9435541,,1.0,30
cluster,184,0.7588066,,1.0,11
cluster,185,0.78564256,,1.0,22
cluster,186,0.67815644,,1.0,13
cluster,187,0.89262706,,1.0,26
cluster,188,0.91682863,,1.0,24
cluster,189,0.8197761,,0.9722222222222222,36
cluster,190,0.8012035,,1.0,25
cluster,191,0.93966585,,1.0,21
cluster,192,0.9313504,,1.0,17
cluster,193,0.9311644,,1.0,28
cluster,194,0.9601127,,0.5161290322580645,31
cluster,195,0.97724295,,0.9285714285714286,14
cluster,196,0.7597702,,1.0,11
cluster,197,0.9074119,,1.0,20
cluster,198,0.8584264,,1.0,40
cluster,199,0.9217309,,1.0,16
cluster,200,0.98877406,,1.0,11
cluster,201,0.92690736,,1.0,30
cluster,202,0.86237,,1.0,24
cluster,203,0.8624265,,1.0,26
cluster,204,0.79955816,,1.0,24
cluster,205,0.7275127,,1.0,16
cluster,206,0.9733084,,1.0,25
cluster,207,0.8502194,,0.96,25
cluster,208,0.9436902,,1.0,14
cluster,209,0.76131123,,1.0,33
cluster,210,0.8497683,,1.0,22
cluster,211,0.9070793,,1.0,22
cluster,212,0.8749,,0.9523809523809523,21
cluster,213,0.8637634,,1.0,22
cluster,214,0.8123033,,1.0,25
cluster,215,0.9315145,,0.96875,32
cluster,216,0.8151395,,1.0,16
cluster,217,0.7894544,,1.0,19
cluster,218,0.9448802,,0.9655172413793104,29
cluster,219,0.76957417,,0.9444444444444444,18
cluster,220,0.84158164,,1.0,20
cluster,221,0.9471385,,1.0,36
cluster,222,0.84038585,,1.0,28
cluster,223,0.85875845,,1.0,35
cluster,224,0.96795666,,1.0,29
cluster,225,0.8870784,,1.0,31
cluster,226,0.73368496,,1.0,29
cluster,227,0.9061954,,1.0,24
cluster,228,0.79537594,,1.0,40
cluster,229,0.64466226,,0.9534883720930233,43
cluster,230,0.9775477,,1.0,15
cluster,231,0.6590861,,1.0,16
cluster,232,0.86624575,,1.0,42
cluster,233,0.8419581,,1.0,45
cluster,234,0.8167744,,1.0,12
cluster,235,0.7203067,,1.0,39
cluster,236,0.9051837,,0.9333333333333333,15
cluster,237,0.800958,,1.0,26
cluster,238,0.89707565,,1.0,30
cluster,239,0.9095354,,1.0,20
cluster,240,0.9350014,,1.0,19
cluster,241,0.9485622,,0.8461538461538461,13
cluster,242,0.8722084,,1.0,11
cluster,243,0.8141217,,1.0,29
cluster,244,0.9728461,,1.0,19
cluster,245,0.80160046,,1.0,20
cluster,246,0.9357143,,1.0,26
cluster,247,0.9061352,,1.0,29
cluster,248,0.8957867,,1.0,29
cluster,249,0.88018924,,0.84375,32
cluster,250,0.98836744,,1.0,21
cluster,251,0.9083154,,1.0,11
cluster,252,0.9806714,,1.0,19
cluster,253,0.76920265,,1.0,12
cluster,254,0.9207952,,1.0,22
cluster,255,0.82382363,,1.0,61
cluster,256,0.8145438,,1.0,22
cluster,257,0.93375313,,1.0,27
cluster,258,0.8522428,,1.0,29
cluster,259,0.63511705,,1.0,42
cluster,260,0.7232873,,0.9841269841269841,63
cluster,261,0.84503764,,1.0,14
cluster,262,0.9633165,,1.0,41
cluster,263,0.9312042,,0.9354838709677419,31
cluster,264,0.74829733,,1.0,14
cluster,265,0.8841738,,0.9310344827586207,29
cluster,266,0.7198695,,1.0,21
cluster,267,0.88188183,,1.0,42
cluster,268,0.8510886,,1.0,22
cluster,269,0.5301777,,1.0,150
cluster,270,0.83136725,,1.0,25
cluster,271,0.7610043,,1.0,25
cluster,272,0.8873568,,1.0,17
cluster,273,0.96029806,,1.0,31
cluster,274,0.7884183,,1.0,20
cluster,275,0.69647455,,1.0,12
cluster,276,0.71900946,,1.0,21
cluster,277,0.7927784,,0.9512195121951219,41
cluster,278,0.5835072,,1.0,25
cluster,279,0.8347192,,1.0,38
cluster,280,0.7178483,,1.0,25
cluster,281,0.66878,,0.9333333333333333,15
cluster,282,0.715601,,1.0,12
cluster,283,0.69419336,,0.9523809523809523,21
cluster,284,0.8074305,,1.0,17
cluster,285,0.904964,,1.0,28
cluster,286,0.49319,,1.0,37
cluster,287,0.7682834,,1.0,17
cluster,288,0.7173871,,1.0,16
cluster,289,0.903844,,1.0,16
cluster,290,0.5609056,,1.0,13
cluster,291,0.7191298,,1.0,51
cluster,292,0.7987919,,1.0,22
cluster,293,0.61631846,,0.9090909090909091,22
cluster,294,0.2808104,,0.46017699115044247,226
cluster,295,0.8794959,,1.0,21
cluster,296,0.8790789,,1.0,17
cluster,297,0.94136316,,1.0,28
cluster,298,0.7509533,,1.0,80
cluster,299,0.93081623,,1.0,22
cluster,300,0.8408898,,0.9130434782608695,23
cluster,301,0.69064385,,1.0,12
cluster,302,0.7836614,,1.0,20
cluster,303,0.7818412,,1.0,30
cluster,304,0.76292115,,1.0,37
cluster,305,0.94892514,,1.0,17
cluster,306,0.7579292,,1.0,11
cluster,307,0.6835417,,0.9285714285714286,14
cluster,308,0.8949365,,1.0,19
cluster,309,0.8484446,,1.0,30
cluster,310,0.64775026,,1.0,16
