True Class,1,2,3,4,5,7,8,Total,% Correct
1,2956,60,274,424,497,463,1006,5680,52.04225352112676
2,76,1423,95,120,130,232,66,2142,66.43323996265173
3,4,24,768,29,51,128,33,1037,74.05978784956606
4,0,2,6,87,22,10,0,127,68.50393700787401
5,1,1,1,72,401,13,1,490,81.83673469387756
7,559,1656,825,1193,2217,4572,3232,14254,32.07520695944998
8,384,174,576,511,953,1191,3358,7147,46.98474884566951
