true_class,total_instances,ties,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,correct,correct_pct
1,18540,1,13021.0,365.0,946.0,941.0,1609.0,279.0,1349.0,10.0,19.0,13021.0,0.702319309600863
2,5241,1,104.0,3544.0,362.0,116.0,137.0,145.0,820.0,2.0,10.0,3544.0,0.676206830757489
3,3802,0,4.0,102.0,1863.0,304.0,249.0,75.0,1162.0,0.0,43.0,1863.0,0.4900052603892688
4,972,0,5.0,6.0,55.0,464.0,110.0,65.0,121.0,8.0,138.0,464.0,0.4773662551440329
5,700,0,3.0,2.0,9.0,37.0,476.0,74.0,27.0,50.0,22.0,476.0,0.68
6,613,0,1.0,5.0,27.0,62.0,65.0,245.0,47.0,10.0,151.0,245.0,0.399673735725938
7,549,0,1.0,14.0,95.0,31.0,41.0,8.0,358.0,0.0,1.0,358.0,0.6520947176684881
8,257,0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,221.0,23.0,221.0,0.8599221789883269
9,203,0,0.0,0.0,0.0,14.0,4.0,25.0,4.0,5.0,151.0,151.0,0.7438423645320197
