Image_A,Image_B,SSIM_Score
anemo_0_08.19_15.56.33_45.jpg,anemo_0_08.19_15.56.33_44.jpg,0.9253208348665847
selected_frame_272792.jpg,selected_frame_147349.jpg,0.9210844291910182
anemo_0_07.27_15.38.33._21.jpg,anemo_0_07.27_15.38.33._10.jpg,0.945591782429885
anemo_0_07.28_12.26.33_17.jpg,anemo_0_07.28_12.26.33_18.jpg,0.9329385081776392
anemo_0_07.24_11.56.33_12.jpg,anemo_0_07.24_11.56.33_25.jpg,0.9442550177218381
anemo_0_07.26_11.26.33_36.jpg,anemo_0_07.26_11.26.33_17.jpg,0.923626272544659
anemo_0_07.27_12.56.33_41.jpg,anemo_0_07.27_12.56.33_38.jpg,0.9361492940456534
anemo_0_07.27_15.38.33._18.jpg,anemo_0_07.27_15.38.33._16.jpg,0.9404118034424102
anemo_0_07.24_09.08.33._7.jpg,anemo_0_07.24_09.08.33._15.jpg,0.9270418522769954
anemo_0_07.21_20.26.33_1.jpg,anemo_0_07.21_20.26.33_44.jpg,0.9269629174745995
selected_frame_181489.jpg,selected_frame_688678.jpg,0.9317666817332867
anemo_0_07.22_10.26.33_24.jpg,anemo_0_07.22_10.26.33_19.jpg,0.9191993043302886
anemo_0_07.20_15.26.33_21.jpg,anemo_0_07.20_15.26.33_35.jpg,0.9188742305390367
anemo_0_07.24_10.56.33_26.jpg,anemo_0_07.24_10.56.33_12.jpg,0.9369632789801812
anemo_0_07.29_17.56.33_24.jpg,anemo_0_07.29_17.56.33_29.jpg,0.9450596622137918
anemo_0_07.23_10.08.33._12.jpg,anemo_0_07.23_10.08.33._32.jpg,0.9296039958223965
anemo_0_07.25_10.08.33._8.jpg,anemo_0_07.25_10.08.33._13.jpg,0.9298336747767026
anemo_0_07.29_18.26.33_45.jpg,anemo_0_07.29_18.26.33_21.jpg,0.9428295814432404
anemo_0_07.29_16.26.33_21.jpg,anemo_0_07.29_16.26.33_32.jpg,0.9322957747874853
anemo_0_07.26_14.38.33._29.jpg,anemo_0_07.26_14.38.33._25.jpg,0.9220888232926244
anemo_0_07.29_15.56.33_4.jpg,anemo_0_07.29_15.56.33_14.jpg,0.9413321929002896
anemo_0_07.23_20.38.33._14.jpg,anemo_0_07.23_20.38.33._21.jpg,0.9203398368593363
