Cluster,Class,Count,Percentage of class (%)
208,1,22,0.12
209,2,27,0.52
209,3,49,1.29
209,4,6,0.62
209,5,1,0.14
209,6,2,0.33
209,7,1,0.18
210,1,15,0.08
211,1,2,0.01
211,2,5,0.1
211,3,2,0.05
211,4,1,0.1
212,3,18,0.47
213,3,14,0.37
214,1,14,0.08
215,1,27,0.15
216,3,8,0.21
216,6,1,0.16
216,7,1,0.18
217,1,26,0.14
218,1,46,0.25
219,1,15,0.08
220,1,13,0.07
220,2,4,0.08
221,1,5,0.03
221,2,1,0.02
221,3,81,2.13
221,4,2,0.21
221,5,1,0.14
221,6,2,0.33
221,7,4,0.73
222,1,12,0.06
222,4,1,0.1
223,1,44,0.24
224,1,3,0.02
224,2,1,0.02
224,3,6,0.16
225,1,1,0.01
225,2,16,0.31
226,1,18,0.1
227,1,252,1.36
227,2,59,1.13
227,3,258,6.79
227,4,27,2.78
227,5,9,1.29
227,6,7,1.14
227,7,10,1.82
227,9,4,1.97
228,1,1,0.01
228,3,27,0.71
228,4,1,0.1
229,1,12,0.06
229,2,1,0.02
229,4,1,0.1
230,1,15,0.08
231,1,7,0.04
231,2,29,0.55
231,3,7,0.18
232,1,12,0.06
233,1,32,0.17
233,6,2,0.33
234,1,47,0.25
235,1,64,0.35
235,2,4,0.08
235,5,1,0.14
235,6,2,0.33
235,7,1,0.18
236,1,5,0.03
236,2,4,0.08
236,4,2,0.21
236,5,1,0.14
236,6,1,0.16
236,9,1,0.49
237,1,37,0.2
238,1,20,0.11
238,3,2,0.05
238,5,1,0.14
239,1,8,0.04
239,4,2,0.21
240,1,14,0.08
241,1,16,0.09
242,2,3,0.06
242,3,7,0.18
243,1,126,0.68
243,2,9,0.17
243,3,31,0.82
243,4,4,0.41
243,5,1,0.14
244,1,46,0.25
244,3,1,0.03
245,1,43,0.23
245,2,1,0.02
245,3,8,0.21
245,4,1,0.1
245,5,6,0.86
246,1,18,0.1
246,2,2,0.04
246,3,3,0.08
246,5,3,0.43
247,1,13,0.07
248,1,522,2.82
248,2,7,0.13
248,4,1,0.1
248,6,1,0.16
249,1,89,0.48
249,2,1,0.02
249,5,2,0.29
250,1,93,0.5
250,5,2,0.29
251,1,7,0.04
251,2,5,0.1
252,1,21,0.11
253,1,217,1.17
253,2,1,0.02
253,4,2,0.21
253,5,1,0.14
253,7,1,0.18
254,1,16,0.09
254,5,1,0.14
