Cluster,Class,Count,Percentage of class (%)
272,2,22,0.42
273,1,41,0.22
274,1,2,0.01
274,2,63,1.2
274,4,1,0.1
275,1,16,0.09
276,1,29,0.16
277,1,21,0.11
278,1,23,0.12
278,2,1,0.02
279,1,15,0.08
280,1,86,0.46
281,1,31,0.17
282,1,26,0.14
283,1,22,0.12
284,1,14,0.08
285,1,22,0.12
286,1,15,0.08
287,1,21,0.11
288,1,21,0.11
289,1,89,0.48
290,1,26,0.14
291,1,24,0.13
292,1,44,0.24
293,1,42,0.23
293,2,1,0.02
294,1,15,0.08
295,1,11,0.06
296,1,46,0.25
297,1,34,0.18
298,1,48,0.26
299,1,13,0.07
300,1,14,0.08
301,1,31,0.17
302,1,17,0.09
303,2,28,0.53
303,4,1,0.1
304,1,14,0.08
305,2,29,0.55
306,2,15,0.29
306,6,1,0.16
307,1,38,0.2
307,4,1,0.1
308,1,1,0.01
308,2,24,0.46
309,2,1,0.02
309,3,3,0.08
309,4,1,0.1
309,6,21,3.43
309,9,3,1.48
310,1,12,0.06
311,1,13,0.07
311,2,21,0.4
312,1,36,0.19
313,1,14,0.08
314,1,15,0.08
315,1,30,0.16
316,1,15,0.08
317,1,134,0.72
318,1,1,0.01
318,2,23,0.44
319,1,28,0.15
320,1,29,0.16
321,1,50,0.27
322,1,1,0.01
322,2,65,1.24
322,3,1,0.03
323,2,13,0.25
324,1,2,0.01
324,2,30,0.57
324,5,4,0.57
325,1,37,0.2
326,3,15,0.39
327,1,29,0.16
327,2,1,0.02
327,4,1,0.1
328,3,27,0.71
328,5,1,0.14
329,2,33,0.63
330,3,20,0.53
331,3,20,0.53
332,3,28,0.74
333,3,25,0.66
334,1,23,0.12
335,1,27,0.15
336,1,26,0.14
337,2,1,0.02
337,3,14,0.37
338,2,1,0.02
338,4,1,0.1
338,7,33,6.01
339,1,16,0.09
339,4,1,0.1
340,1,9,0.05
340,2,19,0.36
340,4,2,0.21
340,5,1,0.14
341,1,18,0.1
341,3,1,0.03
342,1,12,0.06
343,1,59,0.32
344,2,1,0.02
344,3,14,0.37
344,4,1,0.1
345,1,10,0.05
346,1,22,0.12
347,1,44,0.24
348,1,21,0.11
349,1,16,0.09
350,2,16,0.31
351,1,16,0.09
352,1,22,0.12
353,1,1,0.01
353,2,1,0.02
353,3,1,0.03
353,4,25,2.57
354,1,19,0.1
355,1,32,0.17
356,1,51,0.28
357,1,12,0.06
358,1,14,0.08
358,2,1,0.02
358,5,1,0.14
359,1,21,0.11
359,3,1,0.03
360,1,31,0.17
361,1,32,0.17
362,1,21,0.11
363,1,92,0.5
364,1,18,0.1
365,1,14,0.08
366,1,23,0.12
367,1,17,0.09
368,1,26,0.14
368,3,2,0.05
369,1,52,0.28
369,5,1,0.14
370,1,24,0.13
371,1,19,0.1
372,1,25,0.13
373,1,16,0.09
374,1,17,0.09
375,1,22,0.12
375,5,3,0.43
376,1,23,0.12
377,2,21,0.4
378,2,32,0.61
379,3,3,0.08
379,4,1,0.1
379,7,7,1.28
380,3,36,0.95
380,4,1,0.1
380,7,1,0.18
381,7,21,3.83
382,1,33,0.18
383,1,11,0.06
384,1,11,0.06
385,2,1,0.02
385,3,12,0.32
385,7,4,0.73
386,1,87,0.47
386,2,1,0.02
387,2,27,0.52
388,2,3,0.06
388,3,24,0.63
389,1,19,0.1
390,1,35,0.19
391,1,57,0.31
391,3,2,0.05
392,2,18,0.34
393,2,85,1.62
393,6,1,0.16
394,1,21,0.11
394,2,1,0.02
395,1,12,0.06
396,1,15,0.08
397,1,5,0.03
397,3,11,0.29
398,3,18,0.47
399,1,65,0.35
400,4,3,0.31
400,8,32,12.45
400,9,2,0.99
401,8,40,15.56
402,5,16,2.29
403,4,1,0.1
403,5,20,2.86
404,1,31,0.17
405,5,41,5.86
406,5,23,3.29
407,8,25,9.73
408,8,91,35.41
409,2,43,0.82
409,3,1,0.03
409,4,2,0.21
410,1,11,0.06
410,6,1,0.16
411,1,73,0.39
412,1,29,0.16
412,2,1,0.02
413,1,15,0.08
414,1,23,0.12
415,1,22,0.12
416,1,37,0.2
417,1,20,0.11
418,1,37,0.2
419,1,58,0.31
419,5,2,0.29
420,1,22,0.12
421,1,21,0.11
422,1,15,0.08
423,2,42,0.8
424,1,16,0.09
425,1,63,0.34
426,1,48,0.26
427,1,30,0.16
428,1,53,0.29
429,1,15,0.08
430,1,33,0.18
431,1,29,0.16
432,1,11,0.06
433,1,22,0.12
434,1,26,0.14
435,1,22,0.12
436,1,22,0.12
437,1,26,0.14
438,1,12,0.06
439,1,25,0.13
440,2,1,0.02
440,3,8,0.21
440,6,1,0.16
441,3,25,0.66
442,1,9,0.05
442,4,1,0.1
443,1,1,0.01
443,2,22,0.42
444,1,26,0.14
445,1,15,0.08
446,1,44,0.24
447,1,35,0.19
447,2,1,0.02
447,4,3,0.31
447,5,2,0.29
447,6,1,0.16
448,1,13,0.07
449,3,10,0.26
449,4,1,0.1
450,3,13,0.34
451,1,25,0.13
451,3,1,0.03
452,1,25,0.13
453,2,1,0.02
453,3,18,0.47
454,3,31,0.82
455,3,44,1.16
456,1,32,0.17
456,5,1,0.14
457,1,1,0.01
457,3,56,1.47
458,3,10,0.26
459,2,1,0.02
459,3,25,0.66
460,2,10,0.19
460,4,1,0.1
461,4,65,6.69
461,5,3,0.43
461,6,124,20.23
461,8,2,0.78
461,9,117,57.64
462,1,22,0.12
463,1,13,0.07
464,2,3,0.06
464,3,35,0.92
464,4,1,0.1
464,6,1,0.16
465,1,28,0.15
466,1,19,0.1
467,1,35,0.19
468,1,14,0.08
469,1,34,0.18
470,1,31,0.17
470,5,1,0.14
471,2,12,0.23
472,1,10,0.05
473,1,18,0.1
474,1,53,0.29
474,5,1,0.14
475,1,44,0.24
476,1,20,0.11
477,1,36,0.19
477,4,1,0.1
478,1,41,0.22
479,1,35,0.19
480,1,13,0.07
481,4,36,3.7
481,6,2,0.33
481,9,3,1.48
482,2,2,0.04
482,3,36,0.95
482,4,1,0.1
482,6,2,0.33
483,1,39,0.21
484,1,38,0.2
485,1,2,0.01
485,2,6,0.11
485,3,35,0.92
485,4,3,0.31
485,6,2,0.33
485,8,1,0.39
486,1,1,0.01
486,2,11,0.21
487,3,19,0.5
488,3,36,0.95
488,6,1,0.16
489,1,17,0.09
489,2,1,0.02
490,1,19,0.1
491,1,16,0.09
492,1,13,0.07
493,3,34,0.89
494,2,12,0.23
494,3,18,0.47
495,1,8,0.04
495,2,1,0.02
495,6,1,0.16
496,2,2,0.04
496,3,53,1.39
496,4,2,0.21
497,1,11,0.06
