Cluster,Class,Count,Percentage of class (%)
271,2,41,0.78
272,1,23,0.12
273,1,17,0.09
274,1,37,0.2
275,1,24,0.13
276,2,12,0.23
277,3,20,0.53
277,7,2,0.36
278,2,21,0.4
279,1,16,0.09
280,1,16,0.09
281,1,15,0.08
282,1,25,0.13
283,1,20,0.11
284,1,23,0.12
285,2,52,0.99
286,2,36,0.69
287,1,1,0.01
287,2,35,0.67
288,1,21,0.11
289,1,29,0.16
289,2,1,0.02
289,4,2,0.21
289,6,2,0.33
290,2,15,0.29
291,2,29,0.55
292,2,11,0.21
293,1,13,0.07
294,1,150,0.81
295,2,12,0.23
296,1,7,0.04
296,2,14,0.27
297,1,9,0.05
297,2,6,0.11
298,3,35,0.92
298,6,5,0.82
299,2,33,0.63
300,2,30,0.57
301,1,27,0.15
302,1,25,0.13
303,2,11,0.21
304,1,45,0.24
305,1,20,0.11
306,1,1,0.01
306,2,34,0.65
306,3,1,0.03
307,2,29,0.55
307,6,1,0.16
308,2,53,1.01
309,2,15,0.29
310,2,36,0.69
311,2,48,0.92
311,4,1,0.1
312,1,14,0.08
313,2,53,1.01
313,4,1,0.1
313,6,1,0.16
314,2,68,1.3
315,2,23,0.44
316,1,11,0.06
316,6,1,0.16
317,2,20,0.38
318,2,12,0.23
319,1,1,0.01
319,2,53,1.01
320,2,14,0.27
321,1,1,0.01
321,2,19,0.36
322,1,20,0.11
323,1,28,0.15
324,2,38,0.73
325,2,22,0.42
326,2,34,0.65
327,1,18,0.1
328,1,28,0.15
329,2,16,0.31
330,2,34,0.65
331,1,12,0.06
332,2,40,0.76
332,4,1,0.1
333,2,74,1.41
334,1,10,0.05
334,2,1,0.02
335,1,14,0.08
336,1,23,0.12
337,1,13,0.07
338,1,33,0.18
339,1,50,0.27
340,1,34,0.18
341,1,11,0.06
342,1,27,0.15
343,1,22,0.12
343,2,1,0.02
343,4,2,0.21
344,1,11,0.06
345,2,62,1.18
345,3,1,0.03
346,3,38,1.0
346,6,1,0.16
347,4,1,0.1
347,5,1,0.14
347,8,17,6.61
348,1,29,0.16
349,1,17,0.09
350,1,22,0.12
351,1,50,0.27
352,1,42,0.23
353,1,38,0.2
354,1,51,0.28
355,1,27,0.15
356,1,35,0.19
357,1,19,0.1
358,1,40,0.22
359,1,25,0.13
360,1,20,0.11
361,1,20,0.11
362,1,22,0.12
363,1,21,0.11
364,1,22,0.12
365,1,11,0.06
366,1,22,0.12
367,1,42,0.23
368,3,18,0.47
369,8,112,43.58
370,8,61,23.74
371,1,27,0.15
372,1,16,0.09
373,1,24,0.13
374,1,13,0.07
375,1,15,0.08
376,1,35,0.19
377,1,18,0.1
378,1,29,0.16
379,1,18,0.1
380,1,60,0.32
381,1,12,0.06
382,1,20,0.11
383,1,31,0.17
383,5,1,0.14
384,1,25,0.13
384,3,1,0.03
385,1,1,0.01
385,2,29,0.55
386,1,13,0.07
387,1,37,0.2
388,1,46,0.25
389,1,41,0.22
390,1,1,0.01
390,3,1,0.03
390,4,1,0.1
390,7,36,6.56
391,3,14,0.37
391,4,1,0.1
392,3,17,0.45
393,1,23,0.12
393,3,15,0.39
394,2,18,0.34
394,3,2,0.05
395,3,11,0.29
395,6,1,0.16
396,1,45,0.24
397,1,32,0.17
398,1,2,0.01
398,2,24,0.46
398,6,1,0.16
399,1,11,0.06
399,2,1,0.02
400,1,41,0.22
401,1,23,0.12
402,1,22,0.12
402,2,1,0.02
402,4,3,0.31
403,1,42,0.23
404,1,25,0.13
405,1,32,0.17
406,1,25,0.13
407,1,15,0.08
407,2,2,0.04
408,2,29,0.55
408,3,1,0.03
409,3,1,0.03
409,7,14,2.55
410,3,11,0.29
411,3,51,1.34
412,1,26,0.14
413,1,14,0.08
414,2,1,0.02
414,3,22,0.58
415,2,1,0.02
415,3,35,0.92
415,6,1,0.16
415,7,1,0.18
416,2,1,0.02
416,3,30,0.79
416,4,3,0.31
416,6,1,0.16
417,3,29,0.76
417,4,4,0.41
418,1,21,0.11
419,1,26,0.14
420,1,27,0.15
420,4,2,0.21
421,1,23,0.12
422,1,36,0.19
423,1,21,0.11
424,1,1,0.01
424,3,20,0.53
424,7,1,0.18
425,1,11,0.06
425,2,1,0.02
426,1,28,0.15
427,1,40,0.22
428,1,14,0.08
429,1,33,0.18
430,1,2,0.01
430,2,12,0.23
431,1,1,0.01
431,2,32,0.61
432,3,13,0.34
432,4,1,0.1
433,1,14,0.08
434,1,10,0.05
435,1,19,0.1
436,1,14,0.08
437,1,25,0.13
438,1,15,0.08
439,1,24,0.13
440,1,22,0.12
441,1,34,0.18
442,1,29,0.16
442,4,1,0.1
443,1,53,0.29
443,2,1,0.02
444,1,46,0.25
445,1,36,0.19
445,4,1,0.1
446,1,13,0.07
447,1,27,0.15
448,1,22,0.12
449,1,20,0.11
450,1,21,0.11
451,1,21,0.11
452,1,11,0.06
453,1,16,0.09
453,2,1,0.02
453,6,1,0.16
454,1,17,0.09
455,1,15,0.08
456,1,20,0.11
457,1,29,0.16
458,1,19,0.1
459,1,59,0.32
460,1,48,0.26
460,4,1,0.1
461,1,26,0.14
462,1,42,0.23
463,1,31,0.17
464,1,16,0.09
465,1,27,0.15
466,1,15,0.08
467,1,73,0.39
468,1,22,0.12
469,1,34,0.18
470,1,59,0.32
470,4,1,0.1
471,1,13,0.07
471,7,1,0.18
472,1,36,0.19
473,1,16,0.09
474,1,26,0.14
475,1,28,0.15
476,1,12,0.06
477,1,14,0.08
478,1,43,0.23
479,1,20,0.11
480,1,24,0.13
481,1,41,0.22
482,1,13,0.07
483,1,30,0.16
484,1,39,0.21
485,2,57,1.09
485,3,1,0.03
486,1,34,0.18
487,1,43,0.23
488,1,26,0.14
489,1,41,0.22
490,1,56,0.3
491,1,19,0.1
492,1,43,0.23
493,3,20,0.53
494,3,48,1.26
495,3,29,0.76
495,7,1,0.18
496,3,4,0.11
496,7,33,6.01
497,3,28,0.74
498,3,26,0.68
499,3,10,0.26
500,2,12,0.23
501,1,19,0.1
502,2,53,1.01
503,2,14,0.27
504,1,21,0.11
505,1,25,0.13
506,1,17,0.09
507,1,25,0.13
508,1,18,0.1
509,1,15,0.08
510,1,52,0.28
511,1,17,0.09
512,1,17,0.09
513,1,15,0.08
514,1,26,0.14
515,1,36,0.19
516,3,13,0.34
516,4,1,0.1
517,2,14,0.27
518,2,1,0.02
518,7,36,6.56
519,1,20,0.11
519,2,5,0.1
519,4,1,0.1
519,7,1,0.18
520,1,18,0.1
521,1,7,0.04
521,5,3,0.43
522,1,45,0.24
522,2,4,0.08
522,4,1,0.1
523,1,83,0.45
524,1,46,0.25
525,1,22,0.12
526,1,17,0.09
526,4,2,0.21
527,1,13,0.07
528,1,33,0.18
529,1,17,0.09
530,1,14,0.08
531,3,21,0.55
531,4,1,0.1
531,7,1,0.18
532,3,40,1.05
532,4,3,0.31
532,7,28,5.1
533,1,13,0.07
534,1,25,0.13
534,5,1,0.14
535,1,17,0.09
536,1,19,0.1
537,2,4,0.08
537,3,20,0.53
537,6,1,0.16
538,1,19,0.1
539,1,16,0.09
540,1,41,0.22
541,1,42,0.23
541,2,4,0.08
541,3,5,0.13
541,4,5,0.51
541,6,7,1.14
542,1,11,0.06
542,4,1,0.1
543,1,16,0.09
544,1,17,0.09
545,1,13,0.07
546,1,21,0.11
546,2,3,0.06
546,4,1,0.1
547,1,33,0.18
547,4,1,0.1
547,6,4,0.65
548,1,15,0.08
549,2,11,0.21
549,6,1,0.16
550,2,20,0.38
551,1,25,0.13
551,2,20,0.38
552,1,63,0.34
553,1,27,0.15
554,1,56,0.3
554,3,1,0.03
554,4,2,0.21
555,1,9,0.05
555,5,1,0.14
556,2,1,0.02
556,3,16,0.42
557,3,11,0.29
558,1,36,0.19
558,2,1,0.02
559,1,15,0.08
560,3,49,1.29
561,3,20,0.53
561,4,1,0.1
562,1,14,0.08
562,2,2,0.04
562,4,1,0.1
563,1,3,0.02
563,3,24,0.63
563,7,5,0.91
564,1,23,0.12
564,3,1,0.03
565,1,8,0.04
565,2,16,0.31
565,3,11,0.29
565,4,7,0.72
565,5,7,1.0
565,6,3,0.49
565,7,22,4.01
566,1,12,0.06
567,1,6,0.03
567,3,1,0.03
567,4,2,0.21
567,5,129,18.43
568,1,26,0.14
569,1,10,0.05
570,1,16,0.09
571,3,19,0.5
572,3,16,0.42
573,1,7,0.04
573,3,10,0.26
573,5,1,0.14
573,6,1,0.16
574,1,19,0.1
575,1,46,0.25
575,3,1,0.03
576,1,13,0.07
577,2,1,0.02
577,3,10,0.26
578,1,49,0.26
579,1,6,0.03
579,2,42,0.8
579,4,1,0.1
580,1,45,0.24
581,2,41,0.78
581,4,1,0.1
581,6,5,0.82
582,2,11,0.21
582,4,6,0.62
582,5,1,0.14
582,6,4,0.65
583,4,3,0.31
583,6,15,2.45
584,1,11,0.06
584,5,1,0.14
585,1,31,0.17
586,1,18,0.1
587,1,29,0.16
587,6,1,0.16
588,1,13,0.07
589,1,18,0.1
590,1,19,0.1
591,1,14,0.08
592,3,40,1.05
592,7,9,1.64
593,1,1,0.01
593,2,1,0.02
593,3,35,0.92
593,4,2,0.21
594,1,28,0.15
595,1,9,0.05
595,2,1,0.02
596,1,23,0.12
597,1,21,0.11
598,1,11,0.06
599,1,65,0.35
599,4,2,0.21
599,5,1,0.14
600,1,1,0.01
600,2,26,0.5
600,3,5,0.13
601,3,36,0.95
601,4,5,0.51
602,1,9,0.05
602,2,2,0.04
602,3,54,1.42
602,6,2,0.33
602,7,6,1.09
603,4,1,0.1
603,6,25,4.08
604,1,21,0.11
605,1,21,0.11
606,2,1,0.02
606,3,62,1.63
606,4,7,0.72
606,6,2,0.33
607,1,11,0.06
608,2,1,0.02
608,3,3,0.08
608,7,33,6.01
609,1,27,0.15
610,1,1,0.01
610,3,23,0.6
610,6,1,0.16
611,3,14,0.37
612,3,18,0.47
613,3,23,0.6
614,3,42,1.1
615,1,1,0.01
615,3,8,0.21
615,7,15,2.73
616,3,49,1.29
617,2,5,0.1
617,3,46,1.21
617,7,2,0.36
618,1,1,0.01
618,3,44,1.16
618,4,1,0.1
618,6,2,0.33
618,7,4,0.73
619,1,39,0.21
620,3,14,0.37
620,6,1,0.16
620,7,17,3.1
621,3,24,0.63
622,2,4,0.08
622,3,38,1.0
623,1,13,0.07
624,1,67,0.36
625,3,1,0.03
625,4,15,1.54
625,5,2,0.29
625,6,72,11.75
625,9,10,4.93
626,3,14,0.37
626,7,3,0.55
627,1,2,0.01
627,2,1,0.02
627,3,20,0.53
627,4,6,0.62
627,7,3,0.55
628,1,15,0.08
628,3,2,0.05
628,5,34,4.86
628,6,1,0.16
629,1,10,0.05
630,1,2,0.01
630,2,12,0.23
630,3,4,0.11
630,7,3,0.55
631,1,11,0.06
632,1,41,0.22
633,3,58,1.53
633,4,1,0.1
633,6,1,0.16
633,7,15,2.73
634,3,14,0.37
634,4,3,0.31
634,7,1,0.18
635,4,1,0.1
635,6,9,1.47
636,1,1,0.01
636,4,2,0.21
636,5,63,9.0
637,5,25,3.57
638,2,29,0.55
638,3,8,0.21
638,7,1,0.18
639,1,29,0.16
640,4,12,1.23
640,8,1,0.39
641,3,4,0.11
641,7,26,4.74
642,4,19,1.95
643,3,10,0.26
643,4,2,0.21
643,6,1,0.16
644,4,17,1.75
644,6,4,0.65
645,3,2,0.05
645,4,50,5.14
645,6,7,1.14
645,9,2,0.99
646,1,28,0.15
647,2,1,0.02
647,3,29,0.76
647,7,1,0.18
648,3,9,0.24
648,6,2,0.33
649,1,10,0.05
650,1,13,0.07
651,2,2,0.04
651,3,22,0.58
651,6,1,0.16
652,1,1,0.01
652,3,16,0.42
652,7,37,6.74
653,3,7,0.18
653,4,1,0.1
653,7,2,0.36
654,1,24,0.13
655,1,31,0.17
656,1,31,0.17
657,1,59,0.32
658,1,16,0.09
659,1,40,0.22
660,1,13,0.07
661,1,1,0.01
661,4,178,18.31
661,5,4,0.57
661,6,159,25.94
661,8,1,0.39
