Cluster,Class,Count,Percentage of class (%)
237,1,48,0.26
238,3,25,0.66
239,1,11,0.06
240,1,13,0.07
240,2,2,0.04
240,4,7,0.72
241,1,23,0.12
242,1,37,0.2
243,1,27,0.15
244,1,29,0.16
244,4,1,0.1
245,1,34,0.18
246,1,15,0.08
247,1,13,0.07
248,1,34,0.18
249,1,47,0.25
250,1,24,0.13
251,1,49,0.26
252,4,2,0.21
252,5,73,10.43
253,5,1,0.14
253,8,163,63.42
254,1,54,0.29
255,1,13,0.07
256,2,34,0.65
257,2,28,0.53
258,1,15,0.08
259,1,33,0.18
260,1,26,0.14
261,1,33,0.18
262,1,21,0.11
263,1,65,0.35
263,2,1,0.02
264,1,11,0.06
265,1,13,0.07
266,1,16,0.09
267,1,11,0.06
267,2,68,1.3
267,4,3,0.31
268,1,13,0.07
269,1,20,0.11
269,2,5,0.1
270,2,26,0.5
270,4,1,0.1
271,2,18,0.34
272,1,24,0.13
273,1,27,0.15
273,2,12,0.23
274,2,21,0.4
275,2,22,0.42
276,2,43,0.82
277,1,12,0.06
278,1,25,0.13
278,7,1,0.18
279,1,42,0.23
280,1,39,0.21
281,1,65,0.35
282,1,11,0.06
283,1,52,0.28
284,1,22,0.12
284,2,1,0.02
285,1,64,0.35
286,1,77,0.42
287,1,18,0.1
288,1,43,0.23
289,1,30,0.16
290,1,20,0.11
291,1,23,0.12
292,1,13,0.07
293,1,24,0.13
294,1,28,0.15
294,2,1,0.02
295,1,26,0.14
296,1,37,0.2
297,1,25,0.13
298,1,20,0.11
299,1,53,0.29
300,1,16,0.09
301,1,15,0.08
302,1,38,0.2
303,1,41,0.22
304,1,19,0.1
305,1,29,0.16
306,1,12,0.06
307,1,16,0.09
308,1,37,0.2
309,1,23,0.12
310,1,12,0.06
311,1,31,0.17
312,1,15,0.08
313,1,26,0.14
314,1,20,0.11
315,1,3,0.02
315,2,9,0.17
315,3,67,1.76
315,4,19,1.95
315,6,10,1.63
315,7,5,0.91
316,1,20,0.11
317,1,46,0.25
318,1,45,0.24
319,1,12,0.06
320,1,47,0.25
321,1,30,0.16
322,1,28,0.15
323,1,17,0.09
324,1,32,0.17
325,1,58,0.31
326,2,5,0.1
326,3,25,0.66
326,4,2,0.21
326,7,2,0.36
327,1,23,0.12
328,2,25,0.48
329,1,1,0.01
329,2,39,0.74
330,1,11,0.06
331,1,22,0.12
332,1,16,0.09
333,1,19,0.1
334,1,22,0.12
335,1,24,0.13
336,1,2,0.01
336,2,13,0.25
337,3,46,1.21
338,2,60,1.14
339,1,23,0.12
339,2,5,0.1
340,1,20,0.11
341,1,1,0.01
341,2,27,0.52
341,4,1,0.1
342,1,1,0.01
342,3,9,0.24
342,4,1,0.1
342,7,29,5.28
343,3,49,1.29
344,3,12,0.32
345,1,43,0.23
346,1,40,0.22
346,4,1,0.1
347,1,34,0.18
348,2,31,0.59
349,2,30,0.57
350,2,27,0.52
351,1,19,0.1
352,1,23,0.12
353,1,42,0.23
354,1,42,0.23
355,1,25,0.13
355,4,1,0.1
356,1,19,0.1
357,1,10,0.05
358,1,23,0.12
359,1,22,0.12
360,1,15,0.08
361,1,13,0.07
362,1,24,0.13
363,1,22,0.12
364,1,26,0.14
365,1,20,0.11
366,1,9,0.05
366,2,4,0.08
366,3,1,0.03
366,4,1,0.1
366,6,1,0.16
367,1,15,0.08
368,1,29,0.16
369,1,9,0.05
369,2,1,0.02
370,1,14,0.08
370,5,1,0.14
371,1,11,0.06
372,1,46,0.25
373,1,2,0.01
373,3,9,0.24
374,1,16,0.09
375,1,22,0.12
375,4,1,0.1
375,5,1,0.14
376,1,13,0.07
