Cluster,Class,Count,Percentage of class (%)
240,1,33,0.18
241,1,38,0.2
242,1,15,0.08
243,1,15,0.08
244,2,26,0.5
245,2,21,0.4
246,1,13,0.07
247,1,25,0.13
247,2,8,0.15
248,2,11,0.21
249,1,22,0.12
250,1,31,0.17
251,1,16,0.09
252,1,22,0.12
253,1,29,0.16
254,1,22,0.12
255,1,27,0.15
256,1,52,0.28
257,1,67,0.36
258,1,77,0.42
258,2,1,0.02
258,3,3,0.08
258,4,3,0.31
258,6,1,0.16
259,1,15,0.08
260,1,39,0.21
261,1,10,0.05
262,1,18,0.1
263,1,30,0.16
264,1,22,0.12
265,1,16,0.09
266,1,10,0.05
266,4,2,0.21
267,1,18,0.1
268,1,33,0.18
269,1,39,0.21
270,1,12,0.06
271,1,12,0.06
272,1,53,0.29
273,1,39,0.21
274,1,18,0.1
275,1,49,0.26
276,1,25,0.13
277,1,36,0.19
278,1,21,0.11
279,1,32,0.17
280,1,70,0.38
281,1,30,0.16
282,1,22,0.12
283,1,32,0.17
284,1,58,0.31
284,2,1,0.02
285,1,45,0.24
286,1,18,0.1
287,1,52,0.28
288,1,11,0.06
289,1,52,0.28
289,2,1,0.02
290,1,22,0.12
291,1,40,0.22
292,1,33,0.18
293,1,47,0.25
294,1,32,0.17
295,1,17,0.09
295,2,2,0.04
296,2,19,0.36
297,1,43,0.23
298,1,30,0.16
299,2,30,0.57
299,3,2,0.05
300,1,20,0.11
300,4,1,0.1
301,1,26,0.14
301,2,2,0.04
301,4,1,0.1
302,1,11,0.06
303,1,57,0.31
303,2,10,0.19
303,5,1,0.14
304,1,20,0.11
305,1,22,0.12
306,1,22,0.12
307,1,33,0.18
308,1,19,0.1
308,7,1,0.18
309,1,24,0.13
310,1,17,0.09
311,1,27,0.15
312,1,51,0.28
313,1,16,0.09
314,1,36,0.19
315,1,24,0.13
316,1,19,0.1
317,1,22,0.12
318,1,52,0.28
319,1,59,0.32
320,1,1,0.01
320,3,15,0.39
321,1,24,0.13
322,1,11,0.06
323,3,19,0.5
323,7,3,0.55
324,3,5,0.13
324,7,12,2.19
325,1,18,0.1
