Cluster,Class,Count,Percentage of class (%)
257,1,27,0.15
258,1,29,0.16
259,1,42,0.23
260,1,62,0.33
260,5,1,0.14
261,1,14,0.08
262,3,41,1.08
263,1,2,0.01
263,2,29,0.55
264,1,14,0.08
265,1,1,0.01
265,2,27,0.52
265,6,1,0.16
266,3,21,0.55
267,2,42,0.8
268,2,22,0.42
269,3,150,3.95
270,1,25,0.13
271,3,25,0.66
272,3,17,0.45
273,2,31,0.59
274,3,20,0.53
275,3,12,0.32
276,3,21,0.55
277,3,2,0.05
277,7,39,7.1
278,3,25,0.66
279,3,38,1.0
280,3,25,0.66
281,3,14,0.37
281,7,1,0.18
282,3,12,0.32
283,1,1,0.01
283,3,20,0.53
284,1,17,0.09
285,2,28,0.53
286,1,37,0.2
287,1,17,0.09
288,1,16,0.09
289,1,16,0.09
290,1,13,0.07
291,1,51,0.28
292,1,22,0.12
293,1,20,0.11
293,4,1,0.1
293,5,1,0.14
294,1,104,0.56
294,2,15,0.29
294,3,29,0.76
294,4,46,4.73
294,5,2,0.29
294,6,26,4.24
294,7,4,0.73
295,1,21,0.11
296,1,17,0.09
297,1,28,0.15
298,1,80,0.43
299,1,22,0.12
300,1,21,0.11
300,4,2,0.21
301,1,12,0.06
302,1,20,0.11
303,1,30,0.16
304,1,37,0.2
305,1,17,0.09
306,1,11,0.06
307,1,13,0.07
307,4,1,0.1
308,1,19,0.1
309,1,30,0.16
310,1,16,0.09
311,1,21,0.11
312,1,29,0.16
313,1,27,0.15
314,1,26,0.14
315,1,20,0.11
315,4,1,0.1
316,1,42,0.23
317,1,11,0.06
318,1,15,0.08
319,1,26,0.14
320,2,12,0.23
321,1,29,0.16
322,1,22,0.12
323,1,14,0.08
324,2,30,0.57
325,2,16,0.31
326,2,44,0.84
327,1,23,0.12
328,1,59,0.32
328,2,1,0.02
329,2,32,0.61
330,2,14,0.27
331,1,31,0.17
332,1,12,0.06
333,1,1,0.01
333,2,15,0.29
333,6,1,0.16
334,1,40,0.22
335,1,29,0.16
336,1,63,0.34
337,1,27,0.15
338,1,10,0.05
339,1,67,0.36
340,1,19,0.1
341,1,19,0.1
342,1,13,0.07
343,1,41,0.22
344,1,30,0.16
345,1,41,0.22
346,1,37,0.2
347,1,18,0.1
348,1,19,0.1
349,2,12,0.23
350,1,19,0.1
351,1,25,0.13
352,1,16,0.09
353,1,27,0.15
353,2,1,0.02
354,1,16,0.09
355,1,21,0.11
356,1,49,0.26
357,1,28,0.15
358,1,21,0.11
359,1,20,0.11
360,1,13,0.07
361,2,19,0.36
362,4,1,0.1
362,6,1,0.16
362,7,17,3.1
363,2,1,0.02
363,5,1,0.14
363,7,20,3.64
363,9,1,0.49
364,2,15,0.29
365,2,38,0.73
366,2,34,0.65
367,2,42,0.8
368,2,87,1.66
368,3,1,0.03
368,4,2,0.21
368,5,1,0.14
369,1,19,0.1
370,1,21,0.11
371,2,15,0.29
372,1,14,0.08
373,1,29,0.16
374,2,25,0.48
375,2,12,0.23
376,2,44,0.84
377,1,27,0.15
378,2,11,0.21
379,1,19,0.1
380,2,12,0.23
381,2,13,0.25
381,4,1,0.1
382,1,27,0.15
383,1,58,0.31
383,2,1,0.02
383,4,3,0.31
384,1,57,0.31
385,2,14,0.27
386,1,11,0.06
387,2,22,0.42
388,1,1,0.01
388,2,68,1.3
389,1,19,0.1
390,1,25,0.13
391,2,26,0.5
391,3,1,0.03
392,1,1,0.01
392,2,23,0.44
392,3,8,0.21
392,4,1,0.1
393,2,25,0.48
394,1,4,0.02
394,2,55,1.05
394,6,1,0.16
395,2,12,0.23
396,2,64,1.22
396,3,1,0.03
397,2,13,0.25
397,5,1,0.14
398,1,49,0.26
398,4,1,0.1
398,5,2,0.29
399,1,15,0.08
400,2,29,0.55
401,2,37,0.71
402,2,42,0.8
403,1,22,0.12
404,2,21,0.4
405,1,50,0.27
405,5,1,0.14
406,1,25,0.13
407,2,10,0.19
408,2,41,0.78
408,3,1,0.03
409,1,15,0.08
409,6,2,0.33
410,1,19,0.1
411,1,26,0.14
412,1,34,0.18
413,1,41,0.22
413,2,1,0.02
414,1,12,0.06
415,1,52,0.28
416,2,35,0.67
416,3,3,0.08
417,1,11,0.06
418,1,18,0.1
418,2,19,0.36
419,1,11,0.06
419,2,1,0.02
420,1,27,0.15
420,4,1,0.1
421,2,27,0.52
422,2,35,0.67
422,3,1,0.03
423,1,44,0.24
424,1,19,0.1
425,1,23,0.12
426,2,60,1.14
427,1,21,0.11
428,2,15,0.29
429,2,27,0.52
430,2,40,0.76
430,3,1,0.03
430,6,1,0.16
431,2,48,0.92
432,1,16,0.09
433,1,34,0.18
