Cluster,Class,Count,Percentage of class (%)
282,3,38,1.0
283,1,30,0.16
283,3,9,0.24
283,7,7,1.28
284,3,13,0.34
285,1,11,0.06
286,1,20,0.11
287,1,24,0.13
288,1,41,0.22
289,1,14,0.08
290,1,10,0.05
291,1,41,0.22
292,1,27,0.15
293,1,23,0.12
294,1,15,0.08
295,1,13,0.07
296,1,17,0.09
297,1,30,0.16
298,1,24,0.13
299,1,11,0.06
300,1,35,0.19
301,1,13,0.07
302,1,11,0.06
303,1,1,0.01
303,2,18,0.34
304,1,29,0.16
305,1,31,0.17
306,1,15,0.08
307,1,45,0.24
308,1,15,0.08
309,1,20,0.11
310,1,15,0.08
311,1,25,0.13
312,1,20,0.11
313,1,19,0.1
314,1,26,0.14
315,1,15,0.08
316,1,12,0.06
317,1,36,0.19
318,1,46,0.25
319,1,17,0.09
320,1,34,0.18
321,1,20,0.11
322,1,37,0.2
323,1,14,0.08
324,1,27,0.15
325,1,12,0.06
326,1,14,0.08
327,1,22,0.12
328,1,11,0.06
329,1,24,0.13
330,1,17,0.09
331,1,19,0.1
332,1,41,0.22
333,1,12,0.06
334,1,13,0.07
335,1,39,0.21
336,1,15,0.08
337,1,40,0.22
338,1,69,0.37
338,4,1,0.1
339,1,15,0.08
340,1,16,0.09
341,1,12,0.06
342,1,28,0.15
343,1,26,0.14
344,1,13,0.07
345,1,13,0.07
346,1,42,0.23
347,1,16,0.09
348,1,56,0.3
349,1,20,0.11
350,1,44,0.24
351,1,24,0.13
352,1,30,0.16
353,1,40,0.22
354,1,44,0.24
355,1,10,0.05
356,1,12,0.06
357,1,37,0.2
358,1,12,0.06
359,1,92,0.5
360,1,10,0.05
361,1,10,0.05
362,1,21,0.11
363,1,12,0.06
364,1,31,0.17
365,1,23,0.12
366,1,13,0.07
367,1,18,0.1
368,1,45,0.24
369,1,23,0.12
370,1,11,0.06
371,1,35,0.19
372,1,14,0.08
373,1,48,0.26
374,1,11,0.06
375,1,21,0.11
376,1,47,0.25
377,1,10,0.05
378,1,104,0.56
379,1,22,0.12
