Cluster,Class,Count,Percentage of class (%)
270,2,23,0.44
271,2,12,0.23
272,1,11,0.06
272,6,1,0.16
273,1,23,0.12
274,2,77,1.47
275,2,19,0.36
276,2,27,0.52
277,1,48,0.26
278,2,22,0.42
279,2,15,0.29
280,2,28,0.53
281,1,31,0.17
281,2,10,0.19
282,1,11,0.06
283,1,17,0.09
284,2,24,0.46
285,2,31,0.59
286,2,54,1.03
287,1,1,0.01
287,2,35,0.67
288,2,26,0.5
289,1,25,0.13
290,1,27,0.15
291,1,14,0.08
292,2,63,1.2
292,4,2,0.21
292,6,2,0.33
293,1,1,0.01
293,2,17,0.32
294,2,14,0.27
295,2,49,0.93
296,1,17,0.09
297,2,22,0.42
298,2,13,0.25
299,1,1,0.01
299,2,54,1.03
300,1,51,0.28
301,2,21,0.4
302,2,23,0.44
303,1,1,0.01
303,2,49,0.93
303,4,2,0.21
304,2,13,0.25
305,2,54,1.03
306,2,17,0.32
307,2,36,0.69
308,2,36,0.69
309,1,24,0.13
310,2,34,0.65
311,2,30,0.57
312,1,13,0.07
313,4,1,0.1
313,5,1,0.14
313,8,18,7.0
314,2,27,0.52
315,2,33,0.63
316,1,23,0.12
317,1,21,0.11
318,2,12,0.23
319,2,121,2.31
319,3,1,0.03
320,1,28,0.15
320,2,1,0.02
320,4,2,0.21
320,6,2,0.33
321,1,17,0.09
322,1,57,0.31
323,1,19,0.1
324,1,23,0.12
325,1,38,0.2
326,1,22,0.12
327,1,1,0.01
327,3,21,0.55
327,7,1,0.18
328,1,33,0.18
329,1,12,0.06
330,1,1,0.01
330,3,40,1.05
331,8,53,20.62
332,8,108,42.02
332,9,1,0.49
333,1,47,0.25
334,1,19,0.1
335,1,41,0.22
336,1,36,0.19
337,1,20,0.11
338,1,43,0.23
339,1,50,0.27
340,1,19,0.1
341,1,23,0.12
342,1,24,0.13
343,1,22,0.12
344,1,28,0.15
345,3,26,0.68
345,4,4,0.41
346,2,1,0.02
346,3,32,0.84
347,1,28,0.15
348,1,1,0.01
348,3,14,0.37
349,1,21,0.11
350,2,61,1.16
350,3,1,0.03
351,3,52,1.37
351,7,2,0.36
352,1,15,0.08
352,2,49,0.93
352,3,5,0.13
352,6,1,0.16
352,7,1,0.18
353,1,36,0.19
354,1,39,0.21
355,1,14,0.08
356,1,21,0.11
357,1,105,0.57
358,1,1,0.01
358,2,29,0.55
359,1,68,0.37
360,1,26,0.14
361,2,28,0.53
361,3,1,0.03
