Cluster,Class,Count,Percentage of class (%)
276,7,4,0.73
277,2,1,0.02
277,7,25,4.55
278,2,30,0.57
279,7,22,4.01
280,2,13,0.25
281,2,1,0.02
281,3,14,0.37
281,7,5,0.91
282,3,32,0.84
283,2,1,0.02
283,7,20,3.64
284,1,14,0.08
285,1,15,0.08
286,1,14,0.08
287,1,16,0.09
288,1,22,0.12
289,1,16,0.09
289,2,4,0.08
290,1,10,0.05
291,1,19,0.1
292,1,18,0.1
293,1,28,0.15
294,1,38,0.2
295,1,40,0.22
296,1,17,0.09
297,1,22,0.12
298,1,20,0.11
299,1,14,0.08
300,1,29,0.16
301,1,14,0.08
302,1,36,0.19
303,1,11,0.06
304,1,18,0.1
305,1,41,0.22
306,1,28,0.15
307,1,23,0.12
308,1,17,0.09
309,1,10,0.05
310,1,13,0.07
311,1,52,0.28
312,1,16,0.09
313,1,41,0.22
314,1,12,0.06
315,1,34,0.18
316,1,38,0.2
317,1,134,0.72
318,1,24,0.13
319,1,19,0.1
320,1,25,0.13
321,1,15,0.08
322,1,29,0.16
323,1,15,0.08
324,1,18,0.1
325,1,26,0.14
326,1,22,0.12
327,1,23,0.12
328,1,19,0.1
329,1,25,0.13
330,1,41,0.22
331,1,10,0.05
332,1,15,0.08
333,1,16,0.09
334,1,13,0.07
335,1,24,0.13
336,1,19,0.1
337,1,56,0.3
337,4,1,0.1
338,1,21,0.11
339,1,39,0.21
340,1,25,0.13
341,1,31,0.17
342,1,16,0.09
343,1,24,0.13
344,1,13,0.07
345,1,10,0.05
346,1,27,0.15
347,1,17,0.09
348,1,26,0.14
349,1,16,0.09
350,1,39,0.21
351,1,12,0.06
352,1,33,0.18
353,1,48,0.26
354,1,14,0.08
355,1,18,0.1
356,1,15,0.08
357,1,22,0.12
358,1,10,0.05
359,1,21,0.11
360,1,27,0.15
361,1,17,0.09
362,1,21,0.11
363,1,11,0.06
364,1,31,0.17
365,1,26,0.14
366,1,37,0.2
367,1,21,0.11
368,1,10,0.05
369,1,21,0.11
370,1,25,0.13
371,1,17,0.09
372,1,15,0.08
373,1,41,0.22
374,1,43,0.23
375,1,88,0.47
376,1,25,0.13
377,1,45,0.24
378,1,12,0.06
379,1,26,0.14
380,1,10,0.05
381,1,12,0.06
382,1,10,0.05
383,1,44,0.24
384,1,46,0.25
385,1,12,0.06
386,1,25,0.13
387,1,21,0.11
388,1,27,0.15
389,1,21,0.11
390,1,48,0.26
391,1,42,0.23
392,1,150,0.81
393,1,39,0.21
394,1,12,0.06
395,1,13,0.07
396,1,49,0.26
