Cluster,Class,Count,Percentage of class (%)
273,1,14,0.08
273,2,20,0.38
274,1,30,0.16
275,2,17,0.32
276,1,13,0.07
277,1,39,0.21
278,1,25,0.13
279,1,11,0.06
280,1,15,0.08
281,1,29,0.16
282,1,10,0.05
283,1,21,0.11
284,1,25,0.13
285,1,16,0.09
285,2,2,0.04
286,1,19,0.1
287,1,15,0.08
288,1,17,0.09
289,1,10,0.05
290,1,24,0.13
291,1,9,0.05
291,2,18,0.34
291,4,1,0.1
292,1,22,0.12
293,1,48,0.26
294,1,22,0.12
295,1,41,0.22
296,1,1,0.01
296,3,15,0.39
297,2,45,0.86
298,1,14,0.08
299,2,27,0.52
300,2,8,0.15
300,7,35,6.38
301,1,36,0.19
302,1,23,0.12
303,1,27,0.15
304,1,62,0.33
304,6,1,0.16
305,1,28,0.15
305,3,1,0.03
306,2,26,0.5
307,2,22,0.42
307,3,32,0.84
307,6,1,0.16
308,1,12,0.06
309,1,27,0.15
310,2,23,0.44
311,1,24,0.13
312,1,17,0.09
313,1,26,0.14
314,1,38,0.2
315,1,42,0.23
315,2,10,0.19
316,1,34,0.18
317,1,15,0.08
318,1,17,0.09
319,1,41,0.22
320,1,25,0.13
321,1,15,0.08
322,2,24,0.46
323,1,36,0.19
324,1,27,0.15
325,1,22,0.12
326,1,11,0.06
327,1,30,0.16
328,3,48,1.26
329,2,41,0.78
330,1,40,0.22
330,3,1,0.03
331,1,11,0.06
332,1,57,0.31
333,1,52,0.28
334,1,63,0.34
335,3,2,0.05
335,6,1,0.16
335,7,14,2.55
336,1,1,0.01
336,2,63,1.2
336,3,1,0.03
337,1,1,0.01
337,3,34,0.89
337,4,3,0.31
338,1,52,0.28
339,1,19,0.1
340,1,22,0.12
341,1,19,0.1
342,1,21,0.11
343,1,27,0.15
344,1,13,0.07
345,1,1,0.01
345,2,22,0.42
346,1,20,0.11
346,3,1,0.03
347,1,15,0.08
348,1,20,0.11
349,2,11,0.21
350,1,23,0.12
350,4,1,0.1
350,5,1,0.14
351,1,39,0.21
352,1,14,0.08
353,1,18,0.1
354,2,15,0.29
355,1,13,0.07
356,1,29,0.16
356,3,1,0.03
357,2,1,0.02
357,3,4,0.11
357,7,33,6.01
358,2,26,0.5
358,3,1,0.03
359,1,14,0.08
360,3,23,0.6
361,1,22,0.12
362,1,33,0.18
362,2,1,0.02
363,1,19,0.1
364,1,24,0.13
365,1,27,0.15
365,2,2,0.04
365,4,2,0.21
366,1,113,0.61
366,3,1,0.03
367,1,36,0.19
367,5,3,0.43
368,1,46,0.25
369,1,12,0.06
370,1,16,0.09
371,1,29,0.16
372,1,12,0.06
373,1,19,0.1
