Cluster,Class,Count,Percentage of class (%)
261,1,22,0.12
262,1,49,0.26
263,1,26,0.14
264,1,20,0.11
265,1,55,0.3
266,1,13,0.07
267,1,36,0.19
268,1,21,0.11
269,1,31,0.17
270,1,17,0.09
271,1,27,0.15
272,1,28,0.15
273,1,23,0.12
274,1,24,0.13
275,1,14,0.08
276,1,17,0.09
277,1,59,0.32
278,1,30,0.16
279,1,11,0.06
280,1,33,0.18
281,1,10,0.05
282,1,55,0.3
283,1,20,0.11
284,1,13,0.07
285,1,22,0.12
285,4,1,0.1
286,1,22,0.12
287,1,24,0.13
288,1,36,0.19
289,1,43,0.23
289,5,1,0.14
290,1,23,0.12
291,1,51,0.28
292,1,12,0.06
293,1,30,0.16
294,1,26,0.14
295,1,16,0.09
296,1,15,0.08
297,1,23,0.12
298,3,19,0.5
298,7,2,0.36
299,3,41,1.08
300,3,21,0.55
301,3,149,3.92
302,1,10,0.05
303,1,31,0.17
304,1,54,0.29
304,4,1,0.1
304,5,2,0.29
305,3,24,0.63
306,3,16,0.42
307,1,49,0.26
307,4,1,0.1
308,1,13,0.07
309,1,20,0.11
310,1,14,0.08
311,3,13,0.34
312,3,18,0.47
313,3,24,0.63
314,3,40,1.05
315,1,2,0.01
315,3,47,1.24
315,6,1,0.16
316,3,25,0.66
316,6,1,0.16
316,7,1,0.18
317,3,1,0.03
317,7,38,6.92
318,1,60,0.32
319,1,27,0.15
320,1,29,0.16
320,4,1,0.1
321,1,13,0.07
322,3,13,0.34
322,7,1,0.18
323,3,26,0.68
324,1,20,0.11
325,1,12,0.06
326,1,13,0.07
327,1,12,0.06
328,1,25,0.13
329,1,39,0.21
330,1,12,0.06
331,1,56,0.3
331,4,2,0.21
332,1,27,0.15
333,1,11,0.06
334,1,20,0.11
335,1,25,0.13
336,1,14,0.08
337,1,14,0.08
338,1,25,0.13
339,3,1,0.03
339,7,13,2.37
340,1,28,0.15
341,1,41,0.22
342,1,20,0.11
343,1,41,0.22
344,1,63,0.34
344,5,1,0.14
345,1,28,0.15
345,4,1,0.1
345,6,3,0.49
346,1,14,0.08
347,1,35,0.19
347,3,1,0.03
347,4,2,0.21
348,1,31,0.17
349,1,18,0.1
350,1,18,0.1
351,1,40,0.22
352,3,17,0.45
353,1,15,0.08
354,1,39,0.21
354,2,1,0.02
355,1,1,0.01
355,2,10,0.19
356,2,28,0.53
357,2,30,0.57
358,1,26,0.14
359,1,18,0.1
360,2,49,0.93
360,7,1,0.18
361,2,28,0.53
361,6,1,0.16
362,1,28,0.15
363,2,25,0.48
364,2,36,0.69
365,2,29,0.55
366,2,31,0.59
367,2,11,0.21
368,2,33,0.63
369,2,27,0.52
370,2,10,0.19
371,2,32,0.61
372,2,31,0.59
373,2,39,0.74
374,2,14,0.27
375,2,11,0.21
376,2,12,0.23
376,4,1,0.1
377,2,45,0.86
378,2,25,0.48
379,2,20,0.38
380,2,21,0.4
380,3,2,0.05
380,5,1,0.14
381,2,52,0.99
382,2,31,0.59
383,2,38,0.73
384,1,1,0.01
384,2,42,0.8
385,1,31,0.17
386,1,24,0.13
387,1,29,0.16
388,1,23,0.12
389,1,1,0.01
389,2,29,0.55
389,4,1,0.1
390,2,32,0.61
391,2,26,0.5
392,2,44,0.84
393,2,10,0.19
393,4,1,0.1
394,2,42,0.8
395,1,35,0.19
396,1,20,0.11
396,6,1,0.16
397,1,1,0.01
397,3,16,0.42
397,4,2,0.21
398,1,11,0.06
399,1,28,0.15
400,2,43,0.82
401,2,23,0.44
402,2,13,0.25
403,2,12,0.23
