Cluster,Class,Count,Percentage of class (%)
278,1,24,0.13
279,1,20,0.11
280,1,25,0.13
281,1,39,0.21
282,1,15,0.08
283,1,13,0.07
284,1,39,0.21
285,3,46,1.21
286,3,22,0.58
287,3,13,0.34
288,2,1,0.02
288,3,36,0.95
289,1,30,0.16
289,2,3,0.06
289,3,7,0.18
289,7,6,1.09
290,1,42,0.23
291,1,12,0.06
292,1,19,0.1
293,1,16,0.09
294,1,23,0.12
295,1,27,0.15
296,1,14,0.08
297,1,17,0.09
298,1,17,0.09
299,1,1,0.01
299,2,21,0.4
300,1,33,0.18
301,1,29,0.16
302,1,20,0.11
303,1,39,0.21
304,1,26,0.14
305,1,21,0.11
306,1,18,0.1
307,1,11,0.06
308,1,21,0.11
309,1,15,0.08
310,1,28,0.15
311,1,17,0.09
312,1,10,0.05
313,1,13,0.07
314,1,30,0.16
315,1,10,0.05
316,1,30,0.16
317,1,15,0.08
318,1,36,0.19
319,1,15,0.08
320,1,13,0.07
321,1,20,0.11
322,1,24,0.13
323,1,46,0.25
324,1,43,0.23
325,1,15,0.08
326,1,28,0.15
327,1,11,0.06
328,1,24,0.13
329,1,21,0.11
330,1,16,0.09
331,1,15,0.08
332,1,51,0.28
333,1,11,0.06
334,1,78,0.42
334,4,1,0.1
335,1,18,0.1
336,1,11,0.06
337,1,22,0.12
338,1,34,0.18
339,1,15,0.08
340,1,25,0.13
341,1,15,0.08
342,1,16,0.09
343,1,39,0.21
344,1,10,0.05
345,1,13,0.07
346,1,37,0.2
347,1,15,0.08
348,1,55,0.3
349,1,26,0.14
350,1,46,0.25
351,1,20,0.11
352,1,11,0.06
353,1,24,0.13
354,1,21,0.11
355,1,41,0.22
356,1,45,0.24
357,1,28,0.15
358,1,11,0.06
359,1,91,0.49
360,1,21,0.11
361,1,10,0.05
362,1,23,0.12
363,1,31,0.17
364,1,16,0.09
365,1,11,0.06
366,1,20,0.11
367,1,38,0.2
368,1,13,0.07
369,1,36,0.19
370,1,66,0.36
371,1,48,0.26
372,1,27,0.15
373,1,12,0.06
374,1,97,0.52
375,1,22,0.12
