type,cluster_id,silhouette_score,ami_score,purity,n_samples
cluster,161,0.40083176,,0.9230769230769231,13
cluster,162,0.26863322,,1.0,17
cluster,163,0.4852757,,1.0,28
cluster,164,0.32129702,,1.0,21
cluster,165,0.33646944,,1.0,29
cluster,166,0.2843396,,1.0,24
cluster,167,0.49149567,,1.0,21
cluster,168,0.34366024,,1.0,21
cluster,169,0.29653564,,1.0,21
cluster,170,0.4587953,,1.0,23
cluster,171,0.25527632,,1.0,26
cluster,172,0.14109147,,1.0,59
cluster,173,0.2655835,,1.0,13
cluster,174,0.25251147,,1.0,41
cluster,175,0.4485129,,1.0,24
cluster,176,0.33248258,,1.0,19
cluster,177,0.2763299,,1.0,45
cluster,178,0.3453594,,1.0,25
cluster,179,0.5198488,,1.0,42
cluster,180,0.3652938,,1.0,29
cluster,181,0.5710938,,1.0,27
cluster,182,0.36898467,,1.0,12
cluster,183,0.3008345,,1.0,21
cluster,184,0.43284318,,1.0,11
cluster,185,0.5025018,,0.9375,16
cluster,186,0.6106106,,1.0,11
cluster,187,0.22002482,,0.6756756756756757,37
cluster,188,0.32977515,,1.0,20
cluster,189,0.38440034,,1.0,26
cluster,190,0.3301021,,1.0,22
cluster,191,0.28021336,,1.0,14
cluster,192,0.32220703,,1.0,24
cluster,193,0.25531104,,1.0,42
cluster,194,0.43851697,,1.0,12
cluster,195,0.29172078,,1.0,32
cluster,196,0.29253352,,1.0,10
cluster,197,0.38803664,,1.0,12
cluster,198,0.25519398,,1.0,23
cluster,199,0.39422596,,1.0,15
cluster,200,0.27721927,,1.0,11
cluster,201,0.24358343,,1.0,11
cluster,202,0.20466985,,1.0,22
cluster,203,0.4765795,,0.8823529411764706,17
cluster,204,0.26980945,,1.0,28
cluster,205,0.2752174,,1.0,17
cluster,206,0.15825306,,1.0,25
cluster,207,0.30691615,,1.0,14
cluster,208,0.22042389,,1.0,28
cluster,209,0.17176023,,1.0,35
cluster,210,0.4392975,,1.0,11
cluster,211,0.36464906,,1.0,18
cluster,212,0.2899866,,1.0,24
cluster,213,0.25928676,,1.0,26
cluster,214,0.2866242,,1.0,19
cluster,215,0.15078908,,1.0,18
cluster,216,0.3664889,,1.0,13
cluster,217,0.32333657,,1.0,12
cluster,218,0.24872091,,1.0,14
cluster,219,0.25431016,,1.0,15
cluster,220,0.30669057,,1.0,22
cluster,221,0.28144848,,1.0,38
cluster,222,0.26036903,,1.0,10
cluster,223,0.27040824,,1.0,12
cluster,224,0.37458852,,1.0,24
cluster,225,0.29666466,,1.0,10
cluster,226,0.3937873,,1.0,12
cluster,227,0.16008112,,0.6,75
cluster,228,0.177551,,1.0,93
cluster,229,0.2578316,,1.0,22
cluster,230,0.14012024,,0.9900990099009901,101
cluster,231,0.30345353,,1.0,38
cluster,232,0.23817417,,1.0,15
cluster,233,0.3349222,,1.0,36
cluster,234,0.30301446,,1.0,19
cluster,235,0.36726066,,1.0,24
cluster,236,0.30449894,,1.0,22
cluster,237,0.17473115,,1.0,13
cluster,238,0.30210423,,1.0,34
cluster,239,0.3769777,,1.0,20
cluster,240,0.2997522,,1.0,51
cluster,241,0.34784275,,1.0,23
cluster,242,0.3879483,,1.0,53
cluster,243,0.3147225,,1.0,15
cluster,244,0.31703562,,1.0,23
cluster,245,0.3069638,,1.0,22
cluster,246,0.2756528,,1.0,37
cluster,247,0.16984719,,1.0,31
cluster,248,0.33354658,,1.0,20
cluster,249,0.17734894,,1.0,40
cluster,250,0.3103586,,1.0,38
cluster,251,0.32821068,,1.0,33
cluster,252,0.33229584,,1.0,13
cluster,253,0.312596,,1.0,21
cluster,254,0.30128255,,1.0,12
cluster,255,0.30547646,,1.0,17
cluster,256,0.3155228,,1.0,18
cluster,257,0.43083847,,1.0,18
cluster,258,0.1540073,,1.0,30
cluster,259,0.28537923,,1.0,17
cluster,260,0.23512226,,1.0,44
cluster,261,0.21945749,,0.6938775510204082,49
cluster,262,0.38189986,,1.0,29
cluster,263,0.37917566,,1.0,13
cluster,264,0.2634056,,1.0,29
cluster,265,0.30834457,,1.0,22
cluster,266,0.43930662,,1.0,12
cluster,267,0.29069632,,1.0,15
cluster,268,0.33323365,,0.9777777777777777,45
cluster,269,0.25458947,,1.0,19
cluster,270,0.2977356,,1.0,50
cluster,271,0.24652672,,0.9642857142857143,28
cluster,272,0.23770921,,0.875,32
cluster,273,0.2885324,,1.0,22
cluster,274,0.12646966,,0.43243243243243246,37
cluster,275,0.15752263,,0.6166666666666667,60
cluster,276,0.3443113,,1.0,13
cluster,277,0.21995556,,1.0,20
cluster,278,0.3110145,,1.0,18
cluster,279,0.31793374,,0.967741935483871,31
cluster,280,0.2935442,,1.0,13
cluster,281,0.36309633,,1.0,28
cluster,282,0.4896643,,1.0,27
cluster,283,0.32573196,,1.0,28
cluster,284,0.346325,,1.0,17
cluster,285,0.3130604,,1.0,16
cluster,286,0.36672607,,1.0,12
cluster,287,0.19532992,,1.0,42
cluster,288,0.26181448,,1.0,13
cluster,289,0.40710777,,1.0,17
cluster,290,0.3686355,,1.0,20
cluster,291,0.44433764,,1.0,29
cluster,292,0.26004162,,1.0,14
cluster,293,0.37019342,,1.0,17
cluster,294,0.30908534,,1.0,12
cluster,295,0.46532083,,1.0,50
cluster,296,0.3716323,,1.0,38
cluster,297,0.2944196,,1.0,18
cluster,298,0.29871765,,1.0,18
cluster,299,0.29412526,,1.0,18
cluster,300,0.4586269,,1.0,28
cluster,301,0.42437235,,1.0,24
cluster,302,0.29327115,,1.0,18
cluster,303,0.3395045,,1.0,12
cluster,304,0.42271724,,1.0,14
cluster,305,0.38312694,,1.0,41
cluster,306,0.3467747,,1.0,18
cluster,307,0.25102174,,1.0,10
cluster,308,0.34320602,,1.0,11
cluster,309,0.24990147,,1.0,35
cluster,310,0.49550793,,1.0,25
cluster,311,0.2691956,,1.0,17
cluster,312,0.31916696,,1.0,10
cluster,313,0.29447234,,1.0,19
cluster,314,0.052624688,,1.0,232
cluster,315,0.23067604,,1.0,42
cluster,316,0.368435,,1.0,15
cluster,317,0.39456737,,1.0,13
cluster,318,0.3213638,,1.0,11
cluster,319,0.34799823,,1.0,17
cluster,320,0.26854068,,1.0,38
cluster,321,0.308226,,1.0,19
cluster,322,0.30118847,,1.0,34
cluster,323,0.31106848,,1.0,13
cluster,324,0.32797626,,1.0,50
cluster,325,0.29545337,,1.0,41
cluster,326,0.21497475,,1.0,21
cluster,327,0.2459963,,1.0,33
cluster,328,0.31623805,,1.0,15
cluster,329,0.2894636,,1.0,19
cluster,330,0.26994973,,1.0,18
cluster,331,0.33214474,,1.0,14
cluster,332,0.31558868,,1.0,28
cluster,333,0.2829047,,1.0,25
cluster,334,0.34927168,,1.0,23
cluster,335,0.1333971,,0.9827586206896551,58
cluster,336,0.29759252,,1.0,24
cluster,337,0.21869451,,1.0,17
cluster,338,0.29857197,,1.0,26
cluster,339,0.3662019,,1.0,10
cluster,340,0.3095518,,1.0,10
cluster,341,0.32374057,,1.0,23
cluster,342,0.3194937,,1.0,31
cluster,343,0.23102973,,1.0,11
cluster,344,0.35665122,,1.0,24
cluster,345,0.36077058,,1.0,39
cluster,346,0.30891982,,1.0,16
cluster,347,0.296433,,1.0,24
cluster,348,0.19893824,,1.0,41
cluster,349,0.4391302,,1.0,15
cluster,350,0.32996872,,1.0,50
cluster,351,0.329233,,1.0,11
cluster,352,0.3299526,,1.0,27
cluster,353,0.27435428,,1.0,16
cluster,354,0.303953,,1.0,27
cluster,355,0.32207763,,1.0,18
cluster,356,0.260717,,1.0,17
cluster,357,0.23636283,,1.0,32
cluster,358,0.37180468,,1.0,10
cluster,359,0.25200304,,1.0,42
cluster,360,0.32276854,,1.0,14
cluster,361,0.24221714,,1.0,28
cluster,362,0.27742553,,1.0,13
cluster,363,0.30238563,,1.0,25
cluster,364,0.41038284,,1.0,17
cluster,365,0.32955232,,1.0,21
cluster,366,0.35166517,,1.0,12
cluster,367,0.24561211,,1.0,15
cluster,368,0.33369276,,1.0,33
cluster,369,0.27730224,,1.0,20
cluster,370,0.34766135,,1.0,29
cluster,371,0.33672398,,1.0,33
cluster,372,0.34325954,,1.0,11
cluster,373,0.31648177,,1.0,11
cluster,374,0.17596294,,1.0,47
cluster,375,0.28510964,,1.0,42
cluster,376,0.31037986,,1.0,15
